w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
1.4249999999999998,2.2,15069,4.36943,302,0.09403,0.00016,1.86703,1.38479,2.58544,0.021519969423929437,0.020041144070608533,3.594627414317797e+34,2.714770345380105e-08,0.0002899615103855598,3.205147293416994e+38,0.0002420806112852714,5379.569139672698,0.00017058501838130067
1.4249999999999998,2.7,22759,2.86232,691,0.08323,0.0001,1.30455,1.31678,1.7178,0.0290778110064563,0.03036161518520146,4.0040149261157886e+34,3.023952062620488e-08,0.00012576650995210686,5.4689414874444316e+38,0.00041306204587948875,9179.15657509975,0.0002910691455828181
1.4249999999999998,3.25,18782,1.05351,747,0.04595,6e-05,0.90933,1.25573,1.14188,0.04361610236257843,0.039772122244702376,4.015713086484374e+34,3.032786863895758e-08,5.6091470556916195e-05,8.174972796517954e+38,0.0006174450752657064,13721.001672571254,0.00043509010884612044
1.4249999999999998,3.85,26224,0.6934,1376,0.03736,4e-05,0.65308,1.20075,0.78419,0.053879434669743285,0.052471018913971934,4.733535794500704e+34,3.574908084359719e-08,2.6441427699816962e-05,1.4038543897216276e+39,0.0010603129831734347,23562.510737187436,0.0007471623140914332
1.4249999999999998,4.6,30093,0.34742,1848,0.02338,3e-05,0.45003,1.14412,0.51489,0.06729606815957631,0.061409630146545706,5.7719936891850005e+34,4.359182606438335e-08,1.154487754627322e-05,2.5742514970059875e+39,0.0019442987137507457,43206.638083349906,0.0013700735059408266
1.4249999999999998,5.5,37162,0.18554,2676,0.01495,2e-05,0.31231,1.0887,0.34001,0.08057561711760267,0.07200904149399924,7.300198430126835e+34,5.513328623311558e-08,4.992734513750606e-06,4.971505016722408e+39,0.003754913154624175,83442.51454720389,0.002645944778894086
1.4249999999999998,6.5,37311,0.08061,3063,0.00776,1e-05,0.21319,1.03836,0.22137,0.0962659719637762,0.08209375251266382,9.385089757363819e+34,7.087901032674131e-08,2.160488863873925e-06,9.61623711340206e+39,0.007263018967826329,161400.42150725177,0.0051179737920868775
1.4249999999999998,7.5,37365,0.03896,3107,0.00391,1e-05,0.15362,0.99647,0.15308,0.1003593429158111,0.08315268299210492,1.3018283738439422e+35,9.83179800501429e-08,1.0426870065569384e-06,1.9112531969309458e+40,0.014435447106729197,320787.71348287107,0.010172111665489316
1.4249999999999998,8.5,37615,0.0206,2928,0.00189,0.0,0.11538,0.96082,0.11086,0.09174757281553397,0.07784128672072312,1.966348709989338e+35,1.4850454723882921e-07,5.476538614914263e-07,3.980423280423281e+40,0.030063619942774025,668080.4431727561,0.021184691881429355
1.4249999999999998,9.5,37540,0.01139,2593,0.00114,0.0,0.0883,0.92994,0.08212,0.10008779631255486,0.06907298881193394,2.4333239333111154e+35,1.8377191551326297e-07,3.0340969632392117e-07,6.585964912280701e+40,0.049742937403932784,1105398.608976284,0.0350519599497807
1.4249999999999998,10.5,37973,0.00686,1888,0.00066,0.0,0.07057,0.90281,0.06371,0.09620991253644315,0.049719537566165435,3.2628910356111738e+35,2.4642330908626034e-07,1.806546756906223e-07,1.1506969696969696e+41,0.08691064725807926,1931347.7168462058,0.061242634349511854
