w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
1.4249999999999998,2.2,149694,43.19119,2718,0.80579,0.00016,1.85781,1.38479,2.57268
1.4249999999999998,2.7,223742,28.23717,6397,0.8255,0.0001,1.30909,1.31678,1.72378
1.4249999999999998,3.25,187470,10.41879,7349,0.44588,6e-05,0.90098,1.25573,1.13138
1.4249999999999998,3.85,261126,6.89328,12892,0.3769,4e-05,0.65202,1.20075,0.78291
1.4249999999999998,4.6,296955,3.46195,17889,0.23235,3e-05,0.45444,1.14412,0.51994
1.4249999999999998,5.5,363692,1.85338,24549,0.14412,2e-05,0.31877,1.0887,0.34705
1.4249999999999998,6.5,333355,0.80397,24143,0.07199,1e-05,0.23799,1.03836,0.24711
1.4249999999999998,7.5,264772,0.38242,18581,0.03483,1e-05,0.21279,0.99647,0.21204
1.4249999999999998,8.5,157003,0.17656,11646,0.01675,0.0,0.23697,0.96082,0.22769
1.4249999999999998,10.0,77556,0.0793,8715,0.01057,0.0,0.34598,0.91596,0.3169
1.475,2.2,149702,74.25261,3607,1.99886,0.00017,2.90419,1.38479,4.02169
1.475,2.7,225750,49.77326,8270,2.03637,0.00011,2.06854,1.31678,2.72381
1.475,3.25,188530,18.55421,9115,1.02623,7e-05,1.43657,1.25573,1.80395
1.475,3.85,263583,12.47841,15797,0.85712,5e-05,1.04876,1.20075,1.25929
1.475,4.6,300286,6.35349,21075,0.50921,3e-05,0.73687,1.14412,0.84307
1.475,5.5,370786,3.43181,30117,0.31221,2e-05,0.51537,1.0887,0.56108
1.475,6.5,363398,1.534,31871,0.15319,1e-05,0.36957,1.03836,0.38374
1.475,7.5,335958,0.75049,28146,0.07467,1e-05,0.29119,0.99647,0.29017
1.475,8.5,276496,0.39448,20352,0.03516,1e-05,0.26538,0.96082,0.25498
1.475,10.0,261959,0.29012,17470,0.02227,0.0,0.32978,0.91596,0.30206
1.525,2.2,149363,98.01636,4317,3.26744,0.00019,3.53544,1.38479,4.89583
1.525,2.7,225524,66.56607,9737,3.30921,0.00012,2.53406,1.31678,3.33679
1.525,3.25,187577,25.03124,10737,1.66206,8e-05,1.77425,1.25573,2.22798
1.525,3.85,262219,16.97448,18263,1.34737,5e-05,1.30101,1.20075,1.56219
1.525,4.6,298961,8.70301,24510,0.81496,3e-05,0.91614,1.14412,1.04818
1.525,5.5,373050,4.81001,34348,0.49816,2e-05,0.64632,1.0887,0.70365
1.525,6.5,368453,2.15582,36583,0.2387,1e-05,0.45958,1.03836,0.47721
1.525,7.5,350152,1.0603,33431,0.11346,1e-05,0.35314,0.99647,0.3519
1.525,8.5,311677,0.56203,26945,0.05438,1e-05,0.29936,0.96082,0.28763
1.525,10.0,395275,0.47428,26257,0.03507,0.0,0.31788,0.91596,0.29116
1.5750000000000002,2.2,150036,104.46365,5119,4.13527,0.0002,3.48667,1.38479,4.82831
1.5750000000000002,2.7,225968,71.28072,11172,4.0584,0.00013,2.50326,1.31678,3.29624
1.5750000000000002,3.25,187631,26.91105,12104,2.01864,8e-05,1.75432,1.25573,2.20295
1.5750000000000002,3.85,262549,18.44656,20426,1.64031,5e-05,1.29376,1.20075,1.55348
1.5750000000000002,4.6,301229,9.5913,27180,0.9845,3e-05,0.91439,1.14412,1.04617
1.5750000000000002,5.5,373205,5.28623,38075,0.60496,2e-05,0.6454,1.0887,0.70265
1.5750000000000002,6.5,367783,2.36593,39837,0.28847,1e-05,0.45772,1.03836,0.47527
1.5750000000000002,7.5,349978,1.1652,36800,0.13908,1e-05,0.3507,0.99647,0.34947
1.5750000000000002,8.5,315807,0.62095,30978,0.06811,1e-05,0.2941,0.96082,0.28258
1.5750000000000002,10.0,429503,0.53895,33980,0.04768,0.0,0.29856,0.91596,0.27347
1.625,2.2,149554,124.38902,5933,5.50221,0.00021,3.90592,1.38479,5.40888
1.625,2.7,225296,85.64195,12804,5.43133,0.00014,2.81286,1.31678,3.70391
1.625,3.25,188031,32.82117,13290,2.56977,9e-05,1.98132,1.25573,2.488
1.625,3.85,262738,22.41973,22440,2.12563,6e-05,1.45212,1.20075,1.74364
1.625,4.6,299743,11.62166,29253,1.23895,4e-05,1.02476,1.14412,1.17245
1.625,5.5,373801,6.40307,40721,0.77072,2e-05,0.71552,1.0887,0.77899
1.625,6.5,371977,2.88494,42877,0.36794,2e-05,0.50409,1.03836,0.52343
1.625,7.5,361713,1.41601,40283,0.17586,1e-05,0.37558,0.99647,0.37426
1.625,8.5,337876,0.75563,34795,0.08835,1e-05,0.3039,0.96082,0.292
1.625,10.0,491685,0.66356,40323,0.06272,0.0,0.29075,0.91596,0.26632
1.6749999999999998,2.2,150112,165.72273,6794,7.72461,0.00023,4.89991,1.38479,6.78533
1.6749999999999998,2.7,225734,115.56897,14380,7.46148,0.00014,3.56006,1.31678,4.6878
1.6749999999999998,3.25,188444,44.84235,14821,3.6317,9e-05,2.52593,1.25573,3.17188
1.6749999999999998,3.85,262615,31.03983,24051,2.90645,6e-05,1.87307,1.20075,2.24909
1.6749999999999998,4.6,300777,16.38305,31303,1.72072,4e-05,1.33503,1.14412,1.52744
1.6749999999999998,5.5,375588,9.19661,42997,1.04793,3e-05,0.94468,1.0887,1.02847
1.6749999999999998,6.5,373473,4.18468,45197,0.50642,2e-05,0.67023,1.03836,0.69594
1.6749999999999998,7.5,372292,2.11054,43588,0.24632,1e-05,0.49904,0.99647,0.49728
1.6749999999999998,8.5,362347,1.14422,38344,0.12151,1e-05,0.3927,0.96082,0.37732
1.6749999999999998,10.0,619750,1.05427,47392,0.08433,1e-05,0.33427,0.91596,0.30618
1.725,2.2,149841,201.84791,7336,9.17746,0.00024,5.68981,1.38479,7.87918
1.725,2.7,225654,142.02244,15841,9.24424,0.00015,4.14109,1.31678,5.45289
1.725,3.25,188311,55.6233,16500,4.59096,0.0001,2.95225,1.25573,3.70723
1.725,3.85,262777,39.02752,26391,3.6364,7e-05,2.20674,1.20075,2.64974
1.725,4.6,300074,20.83901,33698,2.17202,4e-05,1.58912,1.14412,1.81815
1.725,5.5,374870,11.82915,45747,1.31996,3e-05,1.13198,1.0887,1.23239
1.725,6.5,375212,5.47996,47180,0.63353,2e-05,0.80933,1.03836,0.84037
1.725,7.5,373340,2.78564,44983,0.30238,1e-05,0.60663,0.99647,0.60449
1.725,8.5,369109,1.52767,40786,0.15048,1e-05,0.4741,0.96082,0.45553
1.725,10.0,675911,1.4303,52850,0.10441,1e-05,0.38169,0.91596,0.34961
1.775,2.2,150625,183.17505,8257,9.63032,0.00025,4.91853,1.38479,6.81113
1.775,2.7,225316,128.95509,16849,9.16265,0.00016,3.5852,1.31678,4.72091
1.775,3.25,188098,51.20164,17239,4.45977,0.00011,2.5775,1.25573,3.23664
1.775,3.85,262549,36.05759,27592,3.65518,7e-05,1.92495,1.20075,2.31138
1.775,4.6,301274,19.36653,35458,2.18263,5e-05,1.38165,1.14412,1.58078
1.775,5.5,374955,10.99184,47914,1.3468,3e-05,0.98371,1.0887,1.07096
1.775,6.5,374262,5.0905,49036,0.64542,2e-05,0.70242,1.03836,0.72937
1.775,7.5,370980,2.58276,46529,0.31577,1e-05,0.52586,0.99647,0.524
1.775,8.5,364426,1.41645,41851,0.15932,1e-05,0.41252,0.96082,0.39636
1.775,10.0,647474,1.32207,54913,0.11483,1e-05,0.34004,0.91596,0.31147
1.825,2.2,150313,178.57327,8751,10.3424,0.00026,4.6265,1.38479,6.40672
1.825,2.7,225190,127.05799,18125,10.16876,0.00017,3.38374,1.31678,4.45564
1.825,3.25,187680,50.59053,18204,4.88159,0.00011,2.43156,1.25573,3.05338
1.825,3.85,263463,35.99349,29196,3.97357,8e-05,1.81635,1.20075,2.18099
1.825,4.6,299613,19.29504,36720,2.34395,5e-05,1.3073,1.14412,1.49571
1.825,5.5,374770,11.12113,49403,1.45072,3e-05,0.93655,1.0887,1.01962
1.825,6.5,374271,5.16115,50366,0.69093,2e-05,0.66728,1.03836,0.69287
1.825,7.5,370351,2.64113,47788,0.33896,1e-05,0.50312,0.99647,0.50134
1.825,8.5,360545,1.44934,42269,0.17019,1e-05,0.3974,0.96082,0.38183
1.825,10.0,628912,1.35204,55836,0.1225,1e-05,0.33227,0.91596,0.30435
1.875,2.2,150362,177.56509,9487,12.14005,0.00027,4.45024,1.38479,6.16263
1.875,2.7,225528,127.32181,18988,11.556,0.00017,3.25767,1.31678,4.28962
1.875,3.25,188011,51.07975,19467,5.72694,0.00012,2.34649,1.25573,2.94655
1.875,3.85,262990,36.51308,30784,4.56577,8e-05,1.75974,1.20075,2.11301
1.875,4.6,300096,19.84745,38553,2.70842,5e-05,1.27435,1.14412,1.45801
1.875,5.5,374017,11.52684,51588,1.66385,3e-05,0.91936,1.0887,1.00091
1.875,6.5,372045,5.41208,51660,0.78283,2e-05,0.66279,1.03836,0.68822
1.875,7.5,366218,2.7892,48855,0.38035,2e-05,0.50431,0.99647,0.50253
1.875,8.5,353209,1.55289,43457,0.1903,1e-05,0.40679,0.96082,0.39086
1.875,10.0,609461,1.46023,57030,0.13384,1e-05,0.34532,0.91596,0.3163
1.925,2.2,149993,177.37002,10133,12.84911,0.00027,4.33173,1.38479,5.99853
1.925,2.7,225319,128.87059,20228,12.33365,0.00018,3.19008,1.31678,4.20062
1.925,3.25,188138,52.23374,20461,6.12791,0.00012,2.30641,1.25573,2.89623
1.925,3.85,263685,37.66625,31898,4.88968,8e-05,1.73397,1.20075,2.08206
1.925,4.6,300794,20.61497,39617,2.85634,5e-05,1.25919,1.14412,1.44067
1.925,5.5,375163,12.03583,52573,1.75331,4e-05,0.90869,1.0887,0.98929
1.925,6.5,373140,5.70096,52968,0.83869,2e-05,0.65842,1.03836,0.68367
1.925,7.5,369649,2.97396,49874,0.40958,2e-05,0.50223,0.99647,0.50046
1.925,8.5,359278,1.66199,43966,0.20286,1e-05,0.40237,0.96082,0.3866
1.925,10.0,638734,1.59033,58152,0.14264,1e-05,0.33608,0.91596,0.30784
1.975,2.2,149255,179.86592,10456,13.19305,0.00028,4.30859,1.38479,5.96649
1.975,2.7,223302,130.02988,20894,12.69182,0.00018,3.1524,1.31678,4.15101
1.975,3.25,185544,52.57576,20580,6.14593,0.00012,2.27368,1.25573,2.85512
1.975,3.85,260369,38.2609,32528,4.98739,9e-05,1.71552,1.20075,2.05991
1.975,4.6,297374,21.06018,40643,3.00349,6e-05,1.24592,1.14412,1.42548
1.975,5.5,371279,12.36605,53549,1.84102,4e-05,0.89948,1.0887,0.97926
1.975,6.5,370104,5.88091,53550,0.8671,2e-05,0.65036,1.03836,0.6753
1.975,7.5,367974,3.08628,50515,0.42201,2e-05,0.49562,0.99647,0.49387
1.975,8.5,358074,1.72252,44090,0.20833,1e-05,0.39494,0.96082,0.37947
1.975,10.0,641482,1.6474,59139,0.14676,1e-05,0.32596,0.91596,0.29856
2.025,2.2,150347,171.75111,11004,12.94809,0.00029,4.00125,1.38479,5.54089
2.025,2.7,224447,125.86308,21620,12.55233,0.00019,2.9578,1.31678,3.89477
2.025,3.25,187313,51.51899,21758,6.26752,0.00013,2.13985,1.25573,2.68708
2.025,3.85,264212,37.64321,34424,5.12666,9e-05,1.60581,1.20075,1.92817
2.025,4.6,300192,20.65717,42000,3.05118,6e-05,1.16366,1.14412,1.33138
2.025,5.5,375485,12.25366,55509,1.87745,4e-05,0.84353,1.0887,0.91835
2.025,6.5,372806,5.80362,55053,0.87755,3e-05,0.60745,1.03836,0.63075
2.025,7.5,368960,3.02974,51182,0.42379,2e-05,0.46107,0.99647,0.45944
2.025,8.5,358642,1.70333,44618,0.20985,1e-05,0.36942,0.96082,0.35495
2.025,10.0,641008,1.63186,59580,0.14837,1e-05,0.30494,0.91596,0.27931
2.075,2.2,150042,168.31575,11631,13.03144,0.00029,3.86231,1.38479,5.34849
2.075,2.7,225055,123.85336,22506,12.43427,0.00019,2.83796,1.31678,3.73696
