w_val,q2_val,exp_events,flux,weight,cross_section,formfactor,cs_scaled
1.4249999999999998,2.2,2154,0.00016,2154.00000,6438.89808,1.38479,8916.51191
1.4249999999999998,2.7,2992,0.00010,2992.00000,10372.77403,1.31678,13658.63631
1.4249999999999998,3.25,1682,0.00006,1682.00000,16211.68768,1.25573,20357.49034
1.4249999999999998,3.85,1407,0.00004,1407.00000,24699.29535,1.20075,29657.65472
1.4249999999999998,4.6,915,0.00003,915.00000,38980.44336,1.14412,44598.44161
1.4249999999999998,5.5,465,0.00002,465.00000,62553.78986,1.08870,68102.18834
1.4249999999999998,6.5,207,0.00001,207.00000,98677.22884,1.03836,102462.30599
1.4249999999999998,7.5,99,0.00001,99.00000,147326.10611,0.99647,146806.36796
1.4249999999999998,8.5,37,0.00000,37.00000,210726.20798,0.96082,202470.60259
1.4249999999999998,9.5,15,0.00000,15.00000,291118.13478,0.92994,270722.96328
1.4249999999999998,10.5,14,0.00000,14.00000,390667.30750,0.90281,352698.24027
1.475,2.2,3778,0.00017,3778.00000,5855.19299,1.38479,8108.20383
1.475,2.7,5036,0.00011,5036.00000,9382.01270,1.31678,12354.02400
1.475,3.25,2854,0.00007,2854.00000,14597.06971,1.25573,18329.96734
1.475,3.85,2286,0.00005,2286.00000,22153.01288,1.20075,26600.20853
1.475,4.6,1378,0.00003,1378.00000,34826.92737,1.14412,39846.30633
1.475,5.5,794,0.00002,794.00000,55682.64572,1.08870,60621.58718
1.475,6.5,316,0.00001,316.00000,87548.49391,1.03836,90906.69323
1.475,7.5,138,0.00001,138.00000,130352.57480,0.99647,129892.71600
1.475,8.5,52,0.00001,52.00000,186008.89639,0.96082,178721.63933
1.475,9.5,28,0.00000,28.00000,256435.72898,0.92994,238470.33952
1.475,10.5,12,0.00000,12.00000,343476.43377,0.90281,310093.86104
1.525,2.2,6104,0.00019,6104.00000,5387.50111,1.38479,7460.54950
1.525,2.7,7614,0.00012,7614.00000,8585.32276,1.31678,11304.96055
1.525,3.25,4058,0.00008,4058.00000,13295.75953,1.25573,16695.87409
1.525,3.85,3391,0.00005,3391.00000,20097.79289,1.20075,24132.40513
1.525,4.6,1911,0.00003,1911.00000,31470.86402,1.14412,36006.55535
1.525,5.5,1104,0.00002,1104.00000,50126.92154,1.08870,54573.08116
1.525,6.5,458,0.00001,458.00000,78546.88295,1.03836,81559.79702
1.525,7.5,213,0.00001,213.00000,116621.06963,0.99647,116209.65294
1.525,8.5,92,0.00001,92.00000,166011.71605,0.96082,159507.88707
1.525,9.5,47,0.00000,47.00000,228376.94912,0.92994,212377.30331
1.525,10.5,13,0.00000,13.00000,305300.43515,0.90281,275628.19863
1.5750000000000002,2.2,8234,0.00020,8234.00000,5007.73872,1.38479,6934.65891
1.5750000000000002,2.7,10172,0.00013,10172.00000,7935.61585,1.31678,10449.44106
1.5750000000000002,3.25,5529,0.00008,5529.00000,12231.58617,1.25573,15359.56047
1.5750000000000002,3.85,4599,0.00005,4599.00000,18414.04037,1.20075,22110.64095
1.5750000000000002,4.6,2673,0.00003,2673.00000,28717.69767,1.14412,32856.59301
1.5750000000000002,5.5,1351,0.00002,1351.00000,45565.15140,1.08870,49606.69097
1.5750000000000002,6.5,595,0.00001,595.00000,71151.78038,1.03836,73881.03190
1.5750000000000002,7.5,281,0.00001,281.00000,105337.11768,0.99647,104965.50860
1.5750000000000002,8.5,150,0.00001,150.00000,149576.76395,0.96082,143716.80590
1.5750000000000002,9.5,59,0.00000,59.00000,205315.46774,0.92994,190931.46456
1.5750000000000002,10.5,16,0.00000,16.00000,273924.08127,0.90281,247301.32155
1.625,2.2,11254,0.00021,11254.00000,4696.12444,1.38479,6503.13905
1.625,2.7,13835,0.00014,13835.00000,7399.72314,1.31678,9743.78955
1.625,3.25,7367,0.00009,7367.00000,11350.89652,1.25573,14253.65272
1.625,3.85,6046,0.00006,6046.00000,17017.52050,1.20075,20433.77108
1.625,4.6,3467,0.00004,3467.00000,26430.40899,1.14412,30239.65226
1.625,5.5,1911,0.00002,1911.00000,41770.96345,1.08870,45475.96598
1.625,6.5,818,0.00002,818.00000,64996.62104,1.03836,67489.77197
1.625,7.5,338,0.00001,338.00000,95941.39487,0.99647,95602.93210
1.625,8.5,182,0.00001,182.00000,135888.94036,0.96082,130565.22918
1.625,9.5,61,0.00001,61.00000,186106.55308,0.92994,173068.28918
1.625,10.5,21,0.00000,21.00000,247788.27167,0.90281,223705.65875
1.6749999999999998,2.2,16091,0.00023,16091.00000,4438.34572,1.38479,6146.17004
1.6749999999999998,2.7,19419,0.00014,19419.00000,6953.64411,1.31678,9156.40268
1.6749999999999998,3.25,10114,0.00009,10114.00000,10614.86834,1.25573,13329.40062
1.6749999999999998,3.85,8388,0.00006,8388.00000,15847.28604,1.20075,19028.61320
1.6749999999999998,4.6,4759,0.00004,4759.00000,24509.86816,1.14412,28042.31634
1.6749999999999998,5.5,2631,0.00003,2631.00000,38580.60313,1.08870,42002.62696
1.6749999999999998,6.5,1092,0.00002,1092.00000,59816.27067,1.03836,62110.71287
1.6749999999999998,7.5,476,0.00001,476.00000,88029.39484,0.99647,87718.84408
1.6749999999999998,8.5,210,0.00001,210.00000,124358.82773,0.96082,119486.83094
1.6749999999999998,9.5,106,0.00001,106.00000,169922.51207,0.92994,158018.07067
1.6749999999999998,10.5,29,0.00000,29.00000,225765.82171,0.90281,203823.57699
1.725,2.2,20661,0.00024,20661.00000,4223.80820,1.38479,5849.08096
1.725,2.7,25509,0.00015,25509.00000,6579.61149,1.31678,8663.88491
1.725,3.25,13565,0.00010,13565.00000,9994.76162,1.25573,12550.71447
1.725,3.85,11191,0.00007,11191.00000,14858.21970,1.20075,17840.99276
1.725,4.6,6251,0.00004,6251.00000,22882.69875,1.14412,26180.63357
1.725,5.5,3468,0.00003,3468.00000,35872.87284,1.08870,39054.72630
1.725,6.5,1435,0.00002,1435.00000,55414.52478,1.03836,57540.12411
1.725,7.5,692,0.00001,692.00000,81301.81334,0.99647,81014.99618
1.725,8.5,297,0.00001,297.00000,114550.35439,0.96082,110062.62345
1.725,9.5,97,0.00001,97.00000,156151.05957,0.92994,145211.41940
1.725,10.5,40,0.00000,40.00000,207022.99112,0.90281,186902.36746
1.775,2.2,23345,0.00025,23345.00000,4044.51490,1.38479,5600.79765
1.775,2.7,29293,0.00016,29293.00000,6264.21173,1.31678,8248.57358
1.775,3.25,15863,0.00011,15863.00000,9468.87792,1.25573,11890.34693
1.775,3.85,13144,0.00007,13144.00000,14016.25917,1.20075,16830.00947
1.775,4.6,7384,0.00005,7384.00000,21493.50769,1.14412,24591.22743
1.775,5.5,4087,0.00003,4087.00000,33556.28886,1.08870,36532.66586
1.775,6.5,1819,0.00002,1819.00000,51643.30202,1.03836,53624.24417
1.775,7.5,855,0.00001,855.00000,75532.78633,0.99647,75266.32119
1.775,8.5,375,0.00001,375.00000,106134.48961,0.96082,101976.46640
1.775,9.5,161,0.00001,161.00000,144330.26322,0.92994,134218.76511
1.775,10.5,49,0.00001,49.00000,190930.84935,0.90281,172374.22555
1.8250000000000002,2.2,26347,0.00026,26347.00000,3894.32589,1.38479,5392.81764
1.8250000000000002,2.7,32757,0.00017,32757.00000,5997.14406,1.31678,7896.90486
1.8250000000000002,3.25,17906,0.00011,17906.00000,9020.55280,1.25573,11327.37197
1.8250000000000002,3.85,14634,0.00008,14634.00000,13295.24445,1.20075,15964.25175
1.8250000000000002,4.6,8368,0.00005,8368.00000,20299.75534,1.14412,23225.42730
1.8250000000000002,5.5,4730,0.00003,4730.00000,31560.60281,1.08870,34359.96638
1.8250000000000002,6.5,2041,0.00002,2041.00000,48388.90888,1.03836,50245.01849
1.8250000000000002,7.5,934,0.00001,934.00000,70548.92396,0.99647,70300.04094
1.8250000000000002,8.5,455,0.00001,455.00000,98858.67899,0.96082,94985.69968
1.8250000000000002,9.5,185,0.00001,185.00000,134105.60412,0.92994,124710.42578
1.8250000000000002,10.5,59,0.00001,59.00000,177006.77497,0.90281,159803.43594
1.875,2.2,29855,0.00027,29855.00000,3768.45643,1.38479,5218.51507
1.875,2.7,37113,0.00017,37113.00000,5770.37889,1.31678,7598.30557
1.875,3.25,20736,0.00012,20736.00000,8636.79442,1.25573,10845.47534
1.875,3.85,16910,0.00008,16910.00000,12674.78019,1.20075,15219.22991
1.875,4.6,9700,0.00005,9700.00000,19268.27735,1.14412,22045.28908
1.875,5.5,5521,0.00003,5521.00000,29831.05342,1.08870,32477.00935
1.875,6.5,2351,0.00002,2351.00000,45562.72829,1.03836,47310.43081
1.875,7.5,1033,0.00002,1033.00000,66215.09803,0.99647,65981.50391
1.875,8.5,461,0.00001,461.00000,92526.12632,0.96082,88901.23697
1.875,9.5,170,0.00001,170.00000,125200.87191,0.92994,116429.54182
1.875,10.5,82,0.00001,82.00000,164874.80473,0.90281,148850.57535
1.9249999999999998,2.2,33523,0.00027,33523.00000,3663.12848,1.38479,5072.65813
1.9249999999999998,2.7,41580,0.00018,41580.00000,5577.57366,1.31678,7344.42397
1.9249999999999998,3.25,22900,0.00012,22900.00000,8307.33864,1.25573,10431.76809
1.9249999999999998,3.85,19033,0.00008,19033.00000,12138.75206,1.20075,14575.59466
1.9249999999999998,4.6,10800,0.00005,10800.00000,18372.87086,1.14412,21020.83346
1.9249999999999998,5.5,6184,0.00004,6184.00000,28324.37764,1.08870,30836.69438
1.9249999999999998,6.5,2601,0.00002,2601.00000,43094.75865,1.03836,44747.79439
1.9249999999999998,7.5,1264,0.00002,1264.00000,62424.58088,0.99647,62204.35897
1.9249999999999998,8.5,540,0.00001,540.00000,86981.41961,0.96082,83573.75484
1.9249999999999998,9.5,205,0.00001,205.00000,117397.97322,0.92994,109173.29907
1.9249999999999998,10.5,78,0.00001,78.00000,154238.12715,0.90281,139247.67951
1.975,2.2,35097,0.00028,35097.00000,3575.32376,1.38479,4951.06717
1.975,2.7,45050,0.00018,45050.00000,5413.65894,1.31678,7128.58473
1.975,3.25,25205,0.00012,25205.00000,8023.97956,1.25573,10075.94580
1.975,3.85,20899,0.00009,20899.00000,11674.27561,1.20075,14017.87501
