w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,cs_scaled
1.4249999999999998,2.2,15069,0.00016,4.36943,1.86703,1.38479,2.58544
1.4249999999999998,2.7,22759,0.00010,2.86232,1.30455,1.31678,1.71780
1.4249999999999998,3.25,18782,0.00006,1.05351,0.90933,1.25573,1.14188
1.4249999999999998,3.85,26224,0.00004,0.69340,0.65308,1.20075,0.78419
1.4249999999999998,4.6,30093,0.00003,0.34742,0.45003,1.14412,0.51489
1.4249999999999998,5.5,37162,0.00002,0.18554,0.31231,1.08870,0.34001
1.4249999999999998,6.5,37311,0.00001,0.08061,0.21319,1.03836,0.22137
1.4249999999999998,7.5,37365,0.00001,0.03896,0.15362,0.99647,0.15308
1.4249999999999998,8.5,37615,0.00000,0.02060,0.11538,0.96082,0.11086
1.4249999999999998,9.5,37540,0.00000,0.01139,0.08830,0.92994,0.08212
1.4249999999999998,10.5,37973,0.00000,0.00686,0.07057,0.90281,0.06371
1.475,2.2,14965,0.00017,7.35114,2.87620,1.38479,3.98293
1.475,2.7,22783,0.00011,5.00935,2.06284,1.31678,2.71631
1.475,3.25,18979,0.00007,1.87425,1.44152,1.25573,1.81015
1.475,3.85,26519,0.00005,1.26125,1.05360,1.20075,1.26511
1.475,4.6,30210,0.00003,0.63227,0.72890,1.14412,0.83395
1.475,5.5,37826,0.00002,0.34760,0.51170,1.08870,0.55709
1.475,6.5,37488,0.00001,0.15346,0.35839,1.03836,0.37214
1.475,7.5,37516,0.00001,0.07473,0.25967,0.99647,0.25875
1.475,8.5,37778,0.00001,0.03988,0.19638,0.96082,0.18869
1.475,9.5,37874,0.00000,0.02282,0.15453,0.92994,0.14371
1.475,10.5,37664,0.00000,0.01340,0.12221,0.90281,0.11033
1.525,2.2,14938,0.00019,9.93379,3.58270,1.38479,4.96128
1.525,2.7,22610,0.00012,6.66875,2.53221,1.31678,3.33436
1.525,3.25,18811,0.00008,2.52657,1.78580,1.25573,2.24248
1.525,3.85,26320,0.00005,1.69932,1.29759,1.20075,1.55808
1.525,4.6,30325,0.00003,0.87884,0.91205,1.14412,1.04350
1.525,5.5,37772,0.00002,0.48453,0.64302,1.08870,0.70006
1.525,6.5,37524,0.00001,0.21321,0.44631,1.03836,0.46343
1.525,7.5,37975,0.00001,0.10701,0.32862,0.99647,0.32746
1.525,8.5,37648,0.00001,0.05707,0.25164,0.96082,0.24178
1.525,9.5,37813,0.00000,0.03254,0.19655,0.92994,0.18278
1.525,10.5,37911,0.00000,0.01935,0.15583,0.90281,0.14068
1.5750000000000002,2.2,14987,0.00020,10.50426,3.50988,1.38479,4.86044
1.5750000000000002,2.7,22812,0.00013,7.23602,2.51720,1.31678,3.31459
1.5750000000000002,3.25,18816,0.00008,2.73566,1.77835,1.25573,2.23313
1.5750000000000002,3.85,26536,0.00005,1.85432,1.28676,1.20075,1.54508
1.5750000000000002,4.6,30588,0.00003,0.97447,0.91489,1.14412,1.04675
1.5750000000000002,5.5,37509,0.00002,0.52345,0.63587,1.08870,0.69228
1.5750000000000002,6.5,37756,0.00001,0.23715,0.44691,1.03836,0.46405
1.5750000000000002,7.5,38082,0.00001,0.11743,0.32481,0.99647,0.32366
1.5750000000000002,8.5,37499,0.00001,0.06215,0.24792,0.96082,0.23821
1.5750000000000002,9.5,37870,0.00000,0.03590,0.19463,0.92994,0.18099
1.5750000000000002,10.5,37692,0.00000,0.02131,0.15486,0.90281,0.13981
1.625,2.2,15084,0.00021,12.57825,3.91601,1.38479,5.42284
1.625,2.7,22610,0.00014,8.66180,2.83480,1.31678,3.73281
1.625,3.25,19027,0.00009,3.32460,1.98335,1.25573,2.49055
1.625,3.85,26403,0.00006,2.27143,1.46401,1.20075,1.75790
1.625,4.6,30207,0.00004,1.16878,1.02266,1.14412,1.17005
1.625,5.5,37783,0.00002,0.64234,0.71014,1.08870,0.77313
1.625,6.5,37861,0.00002,0.28873,0.49566,1.03836,0.51468
1.625,7.5,37791,0.00001,0.14319,0.36353,0.99647,0.36225
1.625,8.5,37797,0.00001,0.07608,0.27352,0.96082,0.26280
1.625,9.5,37957,0.00001,0.04377,0.21462,0.92994,0.19958
1.625,10.5,37725,0.00000,0.02571,0.16885,0.90281,0.15244
1.6749999999999998,2.2,15322,0.00023,16.95549,4.91152,1.38479,6.80142
1.6749999999999998,2.7,22700,0.00014,11.61259,3.55726,1.31678,4.68412
1.6749999999999998,3.25,18905,0.00009,4.48452,2.51799,1.25573,3.16191
1.6749999999999998,3.85,26384,0.00006,3.14139,1.88684,1.20075,2.26563
1.6749999999999998,4.6,30267,0.00004,1.64445,1.33166,1.14412,1.52358
1.6749999999999998,5.5,37887,0.00003,0.92684,0.94381,1.08870,1.02752
1.6749999999999998,6.5,37943,0.00002,0.42258,0.66618,1.03836,0.69173
1.6749999999999998,7.5,37859,0.00001,0.21132,0.49135,0.99647,0.48962
1.6749999999999998,8.5,37846,0.00001,0.11525,0.37872,0.96082,0.36388
1.6749999999999998,9.5,37386,0.00001,0.06557,0.29802,0.92994,0.27714
1.6749999999999998,10.5,37855,0.00000,0.03988,0.23786,0.90281,0.21474
1.725,2.2,15029,0.00024,20.35341,5.72020,1.38479,7.92127
1.725,2.7,22492,0.00015,14.10074,4.12491,1.31678,5.43159
1.725,3.25,18806,0.00010,5.60546,2.97911,1.25573,3.74096
1.725,3.85,26150,0.00007,3.85978,2.19310,1.20075,2.63336
1.725,4.6,30351,0.00004,2.11217,1.59244,1.14412,1.82195
1.725,5.5,37915,0.00003,1.20202,1.13728,1.08870,1.23815
1.725,6.5,37929,0.00002,0.55475,0.81050,1.03836,0.84159
1.725,7.5,37778,0.00001,0.28125,0.60528,0.99647,0.60314
1.725,8.5,37850,0.00001,0.15382,0.46552,0.96082,0.44728
1.725,9.5,37522,0.00001,0.08859,0.36868,0.92994,0.34285
1.725,10.5,37824,0.00000,0.05425,0.29692,0.90281,0.26806
1.775,2.2,15016,0.00025,18.20170,4.90257,1.38479,6.78903
1.775,2.7,22937,0.00016,13.17364,3.59779,1.31678,4.73749
1.775,3.25,18861,0.00011,5.17512,2.59809,1.25573,3.26250
1.775,3.85,26312,0.00007,3.62811,1.93267,1.20075,2.32066
1.775,4.6,30049,0.00005,1.92982,1.38037,1.14412,1.57931
1.775,5.5,37655,0.00003,1.09394,0.97487,1.08870,1.06133
1.775,6.5,37998,0.00002,0.51684,0.70244,1.03836,0.72939
1.775,7.5,37864,0.00001,0.26039,0.51945,0.99647,0.51761
1.775,8.5,37950,0.00001,0.14241,0.39827,0.96082,0.38266
1.775,9.5,37628,0.00001,0.08212,0.31499,0.92994,0.29293
1.775,10.5,37908,0.00001,0.05081,0.25591,0.90281,0.23104
1.8250000000000002,2.2,15213,0.00026,17.84117,4.56710,1.38479,6.32447
1.8250000000000002,2.7,22788,0.00017,12.79045,3.36608,1.31678,4.43237
1.8250000000000002,3.25,18786,0.00011,5.06252,2.43089,1.25573,3.05254
1.8250000000000002,3.85,26729,0.00008,3.62874,1.80497,1.20075,2.16731
1.8250000000000002,4.6,30042,0.00005,1.92945,1.30375,1.14412,1.49165
1.8250000000000002,5.5,37853,0.00003,1.12035,0.93411,1.08870,1.01697
1.8250000000000002,6.5,38055,0.00002,0.52158,0.66322,1.03836,0.68866
1.8250000000000002,7.5,37789,0.00001,0.26553,0.49571,0.99647,0.49396
1.8250000000000002,8.5,37771,0.00001,0.14457,0.37839,0.96082,0.36356
1.8250000000000002,9.5,37502,0.00001,0.08419,0.30107,0.92994,0.27998
1.8250000000000002,10.5,37889,0.00001,0.05192,0.24255,0.90281,0.21898
1.875,2.2,15025,0.00027,17.70417,4.44043,1.38479,6.14905
1.875,2.7,22752,0.00017,12.80098,3.24659,1.31678,4.27504
1.875,3.25,18705,0.00012,5.05358,2.33343,1.25573,2.93015
1.875,3.85,26403,0.00008,3.65924,1.75662,1.20075,2.10926
1.875,4.6,29982,0.00005,2.00047,1.28563,1.14412,1.47092
1.875,5.5,37798,0.00003,1.16990,0.92331,1.08870,1.00520
1.875,6.5,38203,0.00002,0.55120,0.65738,1.03836,0.68260
1.875,7.5,37762,0.00002,0.28171,0.49397,0.99647,0.49223
1.875,8.5,37627,0.00001,0.15477,0.38059,0.96082,0.36568
1.875,9.5,37656,0.00001,0.09173,0.30498,0.92994,0.28361
1.875,10.5,37863,0.00001,0.05682,0.24742,0.90281,0.22337
1.9249999999999998,2.2,14917,0.00027,17.64090,4.33203,1.38479,5.99894
1.9249999999999998,2.7,22833,0.00018,12.98876,3.17285,1.31678,4.17794
1.9249999999999998,3.25,18991,0.00012,5.34729,2.33909,1.25573,2.93727
1.9249999999999998,3.85,26616,0.00008,3.79209,1.72946,1.20075,2.07664
1.9249999999999998,4.6,30182,0.00005,2.07516,1.26322,1.14412,1.44528
1.9249999999999998,5.5,37672,0.00004,1.20197,0.90372,1.08870,0.98388
1.9249999999999998,6.5,37934,0.00002,0.57870,0.65743,1.03836,0.68265
1.9249999999999998,7.5,37892,0.00002,0.29965,0.49365,0.99647,0.49191
1.9249999999999998,8.5,37720,0.00001,0.16667,0.38433,0.96082,0.36927
1.9249999999999998,9.5,37833,0.00001,0.09950,0.30876,0.92994,0.28713
1.9249999999999998,10.5,37686,0.00001,0.06133,0.25101,0.90281,0.22662
1.975,2.2,14867,0.00028,17.80901,4.28284,1.38479,5.93083
1.975,2.7,22586,0.00018,13.04930,3.12780,1.31678,4.11861
1.975,3.25,18706,0.00012,5.24428,2.24955,1.25573,2.82482
1.975,3.85,26130,0.00009,3.85446,1.72208,1.20075,2.06779
1.975,4.6,29818,0.00006,2.10293,1.24072,1.14412,1.41954
1.975,5.5,37906,0.00004,1.25018,0.89069,1.08870,0.96969
1.975,6.5,37373,0.00002,0.58892,0.64495,1.03836,0.66969
1.975,7.5,37729,0.00002,0.31284,0.48997,0.99647,0.48825
1.975,8.5,37699,0.00001,0.17381,0.37852,0.96082,0.36369
1.975,9.5,37636,0.00001,0.10263,0.30137,0.92994,0.28026
1.975,10.5,37776,0.00001,0.06423,0.24629,0.90281,0.22236
2.025,2.2,15120,0.00029,17.34438,4.01789,1.38479,5.56393
2.025,2.7,22683,0.00019,12.67290,2.94686,1.31678,3.88036
2.025,3.25,19131,0.00013,5.24105,2.13140,1.25573,2.67646
2.025,3.85,26786,0.00009,3.81205,1.60402,1.20075,1.92603
2.025,4.6,30318,0.00006,2.09941,1.17099,1.14412,1.33976
2.025,5.5,37634,0.00004,1.21377,0.83365,1.08870,0.90759
2.025,6.5,38119,0.00003,0.58771,0.60160,1.03836,0.62468
2.025,7.5,38007,0.00002,0.30634,0.45257,0.99647,0.45097
2.025,8.5,37750,0.00001,0.17206,0.35453,0.96082,0.34064
2.025,9.5,38013,0.00001,0.10201,0.28025,0.92994,0.26062
2.025,10.5,37948,0.00001,0.06336,0.22799,0.90281,0.20583
2.075,2.2,15251,0.00029,17.24992,3.89425,1.38479,5.39272
2.075,2.7,22792,0.00019,12.55211,2.84002,1.31678,3.73967
2.075,3.25,18741,0.00013,5.11293,2.06532,1.25573,2.59348
2.075,3.85,26446,0.00009,3.74821,1.54773,1.20075,1.85844
