w_val_rec,q2_val_rec,rec_events,weight_rec
1.4249999999999998,2.2,2718,0.80579
1.4249999999999998,2.7,6397,0.82550
1.4249999999999998,3.25,7349,0.44588
1.4249999999999998,3.85,12892,0.37690
1.4249999999999998,4.6,17889,0.23235
1.4249999999999998,5.5,24549,0.14412
1.4249999999999998,6.5,24143,0.07199
1.4249999999999998,7.5,18581,0.03483
1.4249999999999998,8.5,11646,0.01675
1.4249999999999998,10.0,8715,0.01057
1.475,2.2,3607,1.99886
1.475,2.7,8270,2.03637
1.475,3.25,9115,1.02623
1.475,3.85,15797,0.85712
1.475,4.6,21075,0.50921
1.475,5.5,30117,0.31221
1.475,6.5,31871,0.15319
1.475,7.5,28146,0.07467
1.475,8.5,20352,0.03516
1.475,10.0,17470,0.02227
1.525,2.2,4317,3.26744
1.525,2.7,9737,3.30921
1.525,3.25,10737,1.66206
1.525,3.85,18263,1.34737
1.525,4.6,24510,0.81496
1.525,5.5,34348,0.49816
1.525,6.5,36583,0.23870
1.525,7.5,33431,0.11346
1.525,8.5,26945,0.05438
1.525,10.0,26257,0.03507
1.5750000000000002,2.2,5119,4.13527
1.5750000000000002,2.7,11172,4.05840
1.5750000000000002,3.25,12104,2.01864
1.5750000000000002,3.85,20426,1.64031
1.5750000000000002,4.6,27180,0.98450
1.5750000000000002,5.5,38075,0.60496
1.5750000000000002,6.5,39837,0.28847
1.5750000000000002,7.5,36800,0.13908
1.5750000000000002,8.5,30978,0.06811
1.5750000000000002,10.0,33980,0.04768
1.625,2.2,5933,5.50221
1.625,2.7,12804,5.43133
1.625,3.25,13290,2.56977
1.625,3.85,22440,2.12563
1.625,4.6,29253,1.23895
1.625,5.5,40721,0.77072
1.625,6.5,42877,0.36794
1.625,7.5,40283,0.17586
1.625,8.5,34795,0.08835
1.625,10.0,40323,0.06272
1.6749999999999998,2.2,6794,7.72461
1.6749999999999998,2.7,14380,7.46148
1.6749999999999998,3.25,14821,3.63170
1.6749999999999998,3.85,24051,2.90645
1.6749999999999998,4.6,31303,1.72072
1.6749999999999998,5.5,42997,1.04793
1.6749999999999998,6.5,45197,0.50642
1.6749999999999998,7.5,43588,0.24632
1.6749999999999998,8.5,38344,0.12151
1.6749999999999998,10.0,47392,0.08433
1.725,2.2,7336,9.17746
1.725,2.7,15841,9.24424
1.725,3.25,16500,4.59096
1.725,3.85,26391,3.63640
1.725,4.6,33698,2.17202
1.725,5.5,45747,1.31996
1.725,6.5,47180,0.63353
1.725,7.5,44983,0.30238
1.725,8.5,40786,0.15048
1.725,10.0,52850,0.10441
1.775,2.2,8257,9.63032
1.775,2.7,16849,9.16265
1.775,3.25,17239,4.45977
1.775,3.85,27592,3.65518
1.775,4.6,35458,2.18263
1.775,5.5,47914,1.34680
1.775,6.5,49036,0.64542
1.775,7.5,46529,0.31577
1.775,8.5,41851,0.15932
1.775,10.0,54913,0.11483
1.8250000000000002,2.2,8751,10.34240
1.8250000000000002,2.7,18125,10.16876
1.8250000000000002,3.25,18204,4.88159
1.8250000000000002,3.85,29196,3.97357
1.8250000000000002,4.6,36720,2.34395
1.8250000000000002,5.5,49403,1.45072
1.8250000000000002,6.5,50366,0.69093
1.8250000000000002,7.5,47788,0.33896
1.8250000000000002,8.5,42269,0.17019
1.8250000000000002,10.0,55836,0.12250
1.875,2.2,9487,12.14005
1.875,2.7,18988,11.55600
1.875,3.25,19467,5.72694
1.875,3.85,30784,4.56577
1.875,4.6,38553,2.70842
1.875,5.5,51588,1.66385
1.875,6.5,51660,0.78283
1.875,7.5,48855,0.38035
1.875,8.5,43457,0.19030
1.875,10.0,57030,0.13384
1.9249999999999998,2.2,10133,12.84911
1.9249999999999998,2.7,20228,12.33365
1.9249999999999998,3.25,20461,6.12791
1.9249999999999998,3.85,31898,4.88968
1.9249999999999998,4.6,39617,2.85634
1.9249999999999998,5.5,52573,1.75331
1.9249999999999998,6.5,52968,0.83869
1.9249999999999998,7.5,49874,0.40958
1.9249999999999998,8.5,43966,0.20286
1.9249999999999998,10.0,58152,0.14264
1.975,2.2,10456,13.19305
1.975,2.7,20894,12.69182
1.975,3.25,20580,6.14593
1.975,3.85,32528,4.98739
1.975,4.6,40643,3.00349
1.975,5.5,53549,1.84102
1.975,6.5,53550,0.86710
1.975,7.5,50515,0.42201
1.975,8.5,44090,0.20833
1.975,10.0,59139,0.14676
2.025,2.2,11004,12.94809
2.025,2.7,21620,12.55233
2.025,3.25,21758,6.26752
2.025,3.85,34424,5.12666
2.025,4.6,42000,3.05118
2.025,5.5,55509,1.87745
2.025,6.5,55053,0.87755
2.025,7.5,51182,0.42379
2.025,8.5,44618,0.20985
2.025,10.0,59580,0.14837
2.075,2.2,11631,13.03144
2.075,2.7,22506,12.43427
2.075,3.25,22945,6.38574
2.075,3.85,35390,5.14701
2.075,4.6,43501,3.05906
2.075,5.5,56112,1.86590
2.075,6.5,55040,0.87068
2.075,7.5,51503,0.42141
2.075,8.5,44268,0.20421
2.075,10.0,59165,0.14634
2.125,2.2,12066,12.42722
2.125,2.7,23893,12.22194
2.125,3.25,23573,6.17393
2.125,3.85,36239,4.90031
2.125,4.6,44048,2.93495
2.125,5.5,57564,1.83415
2.125,6.5,55874,0.85718
2.125,7.5,51897,0.41273
2.125,8.5,44358,0.20160
2.125,10.0,56727,0.14177
2.175,2.2,12689,12.83491
2.175,2.7,24803,12.69376
2.175,3.25,24066,6.15015
2.175,3.85,37160,4.98954
2.175,4.6,45051,2.98751
2.175,5.5,57875,1.81025
2.175,6.5,56958,0.85550
2.175,7.5,52124,0.40936
2.175,8.5,44086,0.19887
2.175,10.0,53723,0.13662
2.225,2.2,13316,12.83705
2.225,2.7,25610,12.46839
2.225,3.25,25198,6.21556
2.225,3.85,38112,4.94978
2.225,4.6,46264,2.99337
2.225,5.5,59126,1.82441
2.225,6.5,57239,0.84820
2.225,7.5,52231,0.40725
2.225,8.5,44115,0.19441
2.225,10.0,50032,0.12721
2.275,2.2,13589,12.72153
2.275,2.7,26422,12.64517
2.275,3.25,25629,6.24625
2.275,3.85,39006,5.03413
2.275,4.6,47046,2.99961
2.275,5.5,59459,1.83881
2.275,6.5,57766,0.84481
2.275,7.5,52338,0.40506
2.275,8.5,43630,0.19189
2.275,10.0,45917,0.12119
2.325,2.2,13996,12.83894
2.325,2.7,27270,12.64332
2.325,3.25,26340,6.35119
2.325,3.85,39812,5.07364
2.325,4.6,47417,2.98417
2.325,5.5,60609,1.86336
2.325,6.5,57729,0.84981
2.325,7.5,52801,0.40754
2.325,8.5,43410,0.18983
2.325,10.0,42135,0.11433
2.375,2.2,14603,13.13814
2.375,2.7,27945,12.87404
2.375,3.25,26992,6.46613
2.375,3.85,40944,5.25034
2.375,4.6,48121,3.08240
2.375,5.5,61045,1.87832
2.375,6.5,58245,0.86627
2.375,7.5,52674,0.40977
2.375,8.5,43736,0.19152
2.375,10.0,38122,0.10567
2.425,2.2,15134,13.35659
2.425,2.7,28873,13.09330
2.425,3.25,27396,6.47778
2.425,3.85,41331,5.21876
2.425,4.6,48915,3.08815
2.425,5.5,61734,1.87941
2.425,6.5,58586,0.86367
2.425,7.5,51889,0.40105
2.425,8.5,42357,0.18730
2.425,10.0,33703,0.09515
